so_thich_chinh,mon_hoc_yeu_thich,ky_nang_noi_bat,tinh_cach,moi_truong_lam_viec_mong_muon,muc_tieu_nghe_nghiep,mo_ta_ban_than,dinh_huong_tuong_lai,nganh_phu_hop
Cong nghe,Ly,Phan tich,Nang dong,Linh hoat,Thu nhap cao,"Em co xu huong tap trung vao vat lieu ky thuat do luong va bao tri thiet bi, vi em thay linh vuc nay phu hop tinh cach.","Trong 3-5 nam toi, em muon lam ky su co khi che tao va bao tri.",Ky thuat co khi
Du lich,Van,Giao tiep,Nang dong,Linh hoat,Thu nhap cao,"Em co xu huong tap trung vao lap lich trinh tour an toan va dang nho, va muon phat trien lau dai.",Duong dai em mong muon tro thanh huong dan du lich chuyen nghiep.,Huong dan du lich
Y te,Van,Kien nhan,Huong noi,Van phong,Cong hien xa hoi,"Ban than em yeu thich Em thich lam viec voi Kiem toan, vi em thay linh vuc nay phu hop tinh cach.",Em dinh huong se Em muon lam viec trong linh vuc Kiem toan.,Kiem toan
Nghe thuat,Ly,Sang tao,Kien tri,Van phong,Cong hien xa hoi,"Em thuong tim hieu them ve thiet ke do hoa mau sac poster branding illustrator, nham nang cao co hoi nghe nghiep sau nay. Em cung quan tam den ket cau xay dung 3D mo hinh vat lieu xanh.",Muc tieu nghe nghiep cua em la lam designer chuyen nghiep agency hoac freelance.,Thiet ke do hoa
Cong nghe,Toan,Thuyet trinh,Huong ngoai,Van phong,Thu nhap cao,"Ban than em yeu thich vat lieu ky thuat do luong va bao tri thiet bi, vi em thay linh vuc nay phu hop tinh cach.","Trong 3-5 nam toi, em muon lam ky su co khi che tao va bao tri.",Ky thuat co khi
Cong nghe,Ly,Ban linh,Kien nhan,Ky thuat,On dinh,"Em co xu huong tap trung vao Em thich lam viec voi Y te cong cong, de ket hop dam me voi nang luc cua minh.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Y te cong cong.,Y te cong cong
Y te,Ly,Giao tiep,Kien nhan,Benh vien,Khoi nghiep,"Em rat quan tam den Em thich lam viec voi Kiem toan, de ket hop dam me voi nang luc cua minh.",Muc tieu nghe nghiep cua em la Em muon lam viec trong linh vuc Kiem toan.,Kiem toan
Kinh doanh,Su,Phan tich,Ban linh,Linh hoat,Thu nhap cao,"Gan day em dau tu thoi gian cho Em thich lam viec voi Ke toan, va muon phat trien lau dai.",Em dinh huong se Em muon lam viec trong linh vuc Ke toan.,Ke toan
Giao duc,Su,Sang tao,Nang dong,Van phong,Thu nhap cao,"Em rat quan tam den Em quan tam lam viec voi My thuat, de ket hop dam me voi nang luc cua minh.","Trong 3-5 nam toi, em muon Em muon lam viec trong linh vuc My thuat.",My thuat
Ngon ngu,Su,Sang tao,Kien nhan,Van phong,Cong hien xa hoi,"Em rat quan tam den Em thich lam viec voi Vat ly tri lieu cung nhu phuc hoi chuc nang, vi em thay linh vuc nay phu hop tinh cach.",Duong dai em mong muon Em muon lam viec trong linh vuc Vat ly tri lieu va phuc hoi chuc nang.,Vat ly tri lieu va phuc hoi chuc nang
